number,name,telephone,fax_no,email,street,suburb,town_city,institution_type,definition,authority,x20_hours_ece,equity_index,territorial_authority_with_auckland_local_board,regional_council,education_region,general_electorate,maori_electorate,census_area_unit,ward,management_contact_details,management_location_address,management_postal_address,management_postal_suburb,management_postal_city,management_contact_phone,management_contact_fax,community_of_learning_id,community_of_learning_name,longitude,latitude,all_children,under_2s,age_0,age_1,age_2,age_3,age_4,age_5,total_roll,maori,pacific,asian,european_pakeha,other
90300,Te Kohanga Reo o Kimihia Te Matauranga o Nga Tupuna,03 217 3131,NA,NA,93 Mary Street,NA,Invercargill,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 4,Invercargill City,Southland Region,Otago/Southland,Invercargill,Te Tai Tonga,Richmond,Area Outside Ward,Catherine Stuart,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,03-375 4003,03-3557648,NA,NA,168.364442,-46.410081,36,12,3,5,3,6,6,0,23,23,0,0,0,0
60019,Naenae Playcentre,04 920 5716,NA,naenae@playcentre.org.nz,c/- Rata Street School 73 Rata Street,Naenae,Lower Hutt,Playcentre,Not Applicable,Community based,Yes,EQI 3,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti,Naenae North,Eastern Ward,Louise Turnbull,18 Pingau Street,P O Box 57217,Camborne,Porirua 5247,04-280 2410,NA,NA,NA,174.957778,-41.19957,30,15,2,5,3,6,5,0,21,7,0,0,14,0
40221,Te Kohanga Reo o Pirimai,06 343 6048,06 343 6048,NA,14 Kaka Place,Whanganui East,Whanganui,Te Kohanga Reo,Not Applicable,Community based,Yes,EQI 2,Whanganui District,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Wembley Park,Area Outside Ward,Amelia Paea,67 Hankey Street,P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,04-5762005,04-3818777,NA,NA,175.06598,-39.906206,30,8,1,3,4,4,1,0,13,13,0,0,0,0
46491,Bizzy Kidz Childcare,09 633 0400,NA,su@millieshouse.co.nz,16 Mahunga Drive,Mangere Bridge,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 4,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Mangere,Tamaki Makaurau,Mangere Bridge,Manukau Ward,Su Costa,16 Mahunga Drive,16 Mahunga Drive,Mangere Bridge,Auckland 2022,NA,NA,NA,NA,174.795142,-36.94443,80,30,3,14,13,12,25,0,67,16,20,16,9,6
65152,Stewart Island EC Education Centre,03 219 1303,NA,NA,6 Ayr Street,Half Moon Bay,Stewart Island,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,Southland District,Southland Region,Otago/Southland,Invercargill,Te Tai Tonga,Stewart Island,Stewart Island/Rakiura Ward,Leah Rudin-Jones,NA,P O Box 37,NA,Stewart Island 9846,NA,NA,NA,NA,168.128168,-46.899033,20,8,0,0,4,4,3,0,11,5,0,0,6,0
46537,Discoveries Educare Lincoln Rd,09 838 2991,NA,info@discoverieseducare.co.nz,151 Lincoln Rd,Henderson,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Henderson-Massey,Auckland Region,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,Rippan  Sandhu,41 Gillies Ave,465 Parnell Road,Parnell,Auckland 1052,09-2793591,09-275 3592,NA,NA,174.629532,-36.863803,50,15,0,3,9,14,6,0,32,2,7,15,4,4
5244,Ohakune Kindergarten,06 385 8383,06 345 7074,ohakune@yourkindergarten.co.nz,58 Arawa Street,NA,Ohakune,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Ruapehu District,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Ohakune,Waimarino-Waiouru Ward,Amanda Coulston,Unit F 15 John Seddon Drive,P O Box 50743,NA,Porirua 5240,04-232-3069,04-2323096,NA,NA,175.405971,-39.414677,30,0,0,0,1,23,23,0,47,14,1,4,24,0
90036,The Cottage Kindergarten,03 218 8269,03 218 6216,thecottage@ska.co.nz,74 Bowmont Street,Invercargill Central,Invercargill,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Invercargill City,Southland Region,Otago/Southland,Invercargill,Te Tai Tonga,Crinan,Area Outside Ward,Nicola McRobie,NA,P O Box 1362,Invercargill,Invercargill 9840,NA,NA,99146,Invercargill Community of Learning,168.3527,-46.421048,33,0,0,0,6,13,16,1,36,8,0,5,23,0
10169,Fantails Childcare - Country,09 427 4060,NA,info@fantailschildcare.co.nz,"411 Wainui Road, RD2",NA,Silverdale,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Rodney,Auckland Region,Auckland,Helensville,Te Tai Tokerau,Silverdale North,Rodney Ward,Johanna Kiers,16 Tawhara Crescent,P O Box 5,NA,Silverdale 0944,09-2804656,09-476 6047,99069,Orewa Community of Learning,174.65228,-36.599713,50,12,1,10,11,19,19,0,60,5,0,5,48,2
45934,YMCA Early Learning Centre Manurewa,09 267 0673,NA,earlylearning.manurewa@ymcaauckland.org.nz,29 S McKean Avenue,Manurewa,Auckland,Education and Care Service,Not Applicable,Community based,Yes,EQI 2,Auckland - Manurewa,Auckland Region,Auckland,Manurewa,Tamaki Makaurau,Manurewa Central,Manurewa-Papakura Ward,Priscilla  Dougall,Cnr Pitt Street & Greys Avenue,Victoria Street West Private Bag 92150,NA,Auckland 1142,NA,NA,NA,NA,174.886239,-37.024929,35,5,0,0,1,10,19,1,31,12,6,9,2,2
