,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Childhood Services Directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A list of New Zealand Early Childhood Services including contact details, institution information, regional information and management contact details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^ Email addresses are only listed for Early Childhood Education services that agreed to have their email publicly released.  Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Other Ethnicity includes, Other, MELAA, Not Stated. In the case of Kohanga Reo services Other also includes Asian and European.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll data as at 1 July 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report data last updated on: 22 - June - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Name,Telephone,Fax No,Email^,Street,Suburb,Town / City,Institution Type,Definition,Authority,20 Hours ECE,Equity Index,Territorial Authority with Auckland Local Board,Regional Council,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Management Contact Details,Management Location Address,Management Postal Address,Management Postal Suburb,Management Postal City,Management Contact Phone,Management Contact Fax,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,All Children,Under 2's,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Total Roll,Maori,Pacific,Asian*,European Pakeha*,Other*
5001,Anne West Kindergarten,09 408 1110,,annewestkindergarten@xtra.co.nz,92 Pukepoto Road,,Kaitaia,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Far North District,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,Kaitaia West,Te Hiku Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99051,Te Kahui Tai Kura o Te Hiku,173.258085,-35.118309,30,0,0,0,0,13,14,2,29,21,2,1,5,0
5002,Doubtless Bay Kindergarten,09 406 0138,09 406 0138,dbk@xtra.co.nz,5 E Mamaru Road,,Taipa,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,,,Tai Tokerau,Northcote,Te Tai Tokerau,Taipa Bay-Mangonui,,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99051,Te Kahui Tai Kura o Te Hiku,173.464731,-34.99447,30,0,0,0,0,14,26,2,42,18,1,2,21,0
5003,Mission Place Kindergarten,09 408 2444,09 408 2444,m.p.kindy@xtra.co.nz,Mission Place,,Kaitaia,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Far North District,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,Kaitaia East,Te Hiku Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99051,Te Kahui Tai Kura o Te Hiku,173.270687,-35.116073,30,0,0,0,2,10,12,0,24,16,0,2,5,1
5004,Hillcrest Kindergarten,09 401 0548,09 401 0892,hillcrest@nka.org.nz,Cnr Park & Hillcrest Roads,,Kaikohe,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Far North District,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,Kaikohe,Kaikohe-Hokianga Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99060,Te Arahura Community of Learning,173.796032,-35.405278,30,0,0,0,2,14,10,2,28,25,0,0,3,0
5006,Waitangi Kindergarten,09 402 7365,09 402 7362,pwkindergarten@nka.org.nz,Te Kemara Avenue,,Paihia,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Far North District,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,Paihia,Bay of Islands-Whangaroa Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99117,Peowhairangi Community of Learning,174.081809,-35.278113,30,0,0,0,8,8,14,0,30,16,0,0,13,0
5007,Dargaville Free Kindergarten,09 439 8875,09 439 8875,dargaville@nka.org.nz,Portland Street,,Dargaville,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Kaipara District,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99185,Northern Wairoa Kahui Ako,173.868328,-35.939797,40,0,0,0,1,16,35,3,55,14,1,2,36,2
5008,Ruawai Kindergarten,09 439 2415,,ruawai@nka.org.nz,4376A State Highway 12,,Ruawai,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Kaipara District,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,West Coast-Central Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99185,Northern Wairoa Kahui Ako,174.011426,-36.121276,30,0,0,0,0,16,19,0,35,10,1,0,24,0
5009,Selwyn Park Kindergarten,09 439 7519,09 439 7519,selwynpark@nka.org.nz,31 McKay Cresent,,Dargaville,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Kaipara District,Northland Region,Tai Tokerau,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99185,Northern Wairoa Kahui Ako,173.875023,-35.933163,30,0,0,0,0,6,24,0,30,26,3,0,0,0
5010,Forest View Kindergarten,09 437 2965,09 437 2954,forestview@nka.org.nz,215 Kiripaka Road,Tikipunga,Whangarei,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Tikipunga West,Denby Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99182,Te Tai Raki Whangarei Kahui Ako,174.330055,-35.684397,40,0,0,0,6,20,24,3,53,24,1,1,25,2
5011,First Ave Hora Hora Kindergarten,09 438 7053,09 438 7051,horahora@nka.org.nz,43 A First Avenue,Whangarei CBD,Whangarei,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Vinetown,Okara Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99181,Nga Kura mo te ako o Whangarei Kahui Ako Group 2,174.312921,-35.729148,40,0,0,0,7,21,20,0,48,11,2,14,20,1
