schoolId,name,latitude,longitude
5001,Anne West Kindergarten,-35.118309000000004,173.258085
5002,Doubtless Bay Kindergarten,-34.99447,173.464731
5003,Mission Place Kindergarten,-35.116073,173.270687
5004,Hillcrest Kindergarten,-35.405278,173.796032
5006,Waitangi Kindergarten,-35.278113,174.081809
5007,Dargaville Free Kindergarten,-35.939797,173.868328
5008,Ruawai Kindergarten,-36.121276,174.011426
5009,Selwyn Park Kindergarten,-35.933163,173.875023
5010,Forest View Kindergarten,-35.684397,174.330055
5011,First Ave Hora Hora Kindergarten,-35.729148,174.312921
5012,Te Kamo Kindergarten,-35.681465,174.304353
5013,Mairtown Free Kindergarten,-35.706364,174.32299
5014,Onerahi Free Kindergarten,-35.751769,174.371274
5015,Hikurangi Kindergarten,-35.601685,174.285332
5016,Portland Kindergarten,-35.799119,174.327583
5017,Raumanga Kindergarten,-35.743806,174.304192
5018,Parihaka Kindergarten,-35.725862,174.344019
5019,Tikipunga Free Kindergarten,-35.686569,174.324894
5020,Wellsford Kindergarten,-36.299073,174.52304
5021,Glamorgan Kindergarten,-36.69986,174.735548
5022,Orewa Beach Kindergarten,-36.591804,174.688727
5023,Mahurangi Kindergarten,-36.397273,174.653812
5024,Rangitoto Kindergarten,-36.736462,174.748848
5025,Taiaotea Kindergarten,-36.715502,174.741812
5026,Torbay Kindergarten,-36.699256,174.750444
5027,Stanmore Bay Kindergarten,-36.624965,174.729366
5028,Anchorage Park Kindergarten,-36.919177,174.866872
5029,Avondale Kindergarten,-36.89019,174.687416
5030,Bairds Kindergarten,-36.960121,174.866451
5031,Bayview Kindergarten,-36.771774,174.705897
5032,Belmont Bayswater Kindergarten,-36.812302,174.783911
5033,Beach Haven Kindergarten,-36.790645,174.692573
5034,Birkenhead Kindergarten,-36.811393,174.721441
5035,Blockhouse Bay Kindergarten,-36.921817,174.702197
5036,Botany Downs Kindergarten,-36.91038,174.92192
5037,Sunnynook Kindergarten,-36.754847,174.743602
5038,Bucklands Beach Kindergarten,-36.878237,174.91185
5039,Cascades Kindergarten,-36.908304,174.90058
5040,Ellerslie Kindergarten,-36.890605,174.822135
5042,Colwill Kindergarten,-36.834795,174.632912
5043,Remuera Kindergarten,-36.882788,174.80509
5044,Onehunga Kindergarten,-36.916813,174.786882
5045,Devonport Kindergarten,-36.824779,174.803432
5046,Don Buck Kindergarten,-36.851143,174.609703
5047,Favona Kindergarten,-36.953882,174.807476
5048,Ferndale Kindergarten,-36.882297,174.718862
5049,Flatbush Kindergarten,-36.974269,174.884291
5050,Glen Eden Kindergarten,-36.90994,174.653392
5051,Glen Innes Kindergarten,-36.875423,174.872943
5052,Glenfield Kindergarten,-36.778076,174.722278
5053,Green Bay Kindergarten,-36.930426,174.67535
5054,Henderson Kindergarten,-36.879613,174.629103
5055,Highland Park Kindergarten,-36.899127,174.915185
5056,Hillsborough Kindergarten,-36.923827,174.744207
5057,Hobsonville Kindergarten,-36.813442,174.622271
5058,Howick Kindergarten,-36.895689,174.927597
5059,Mangere West Kindergarten,-36.966171,174.792712
5060,Kauri Park Kindergarten,-36.804714,174.698243
5061,Kingsdene Kindergarten,-36.972167,174.802558
5062,Papatoetoe North Kindergarten,-36.969761,174.830789
5063,Epsom South Kindergarten,-36.890114,174.764093
5064,Freemans Bay Kindergarten,-36.854824,174.751999
5065,Lynfield Kindergarten,-36.932773,174.719592
5066,McNaughton Kindergarten,-36.962925,174.810621
5067,Mangere Bridge Kindergarten,-36.946469,174.773501
5068,Marlborough Kindergarten,-36.788985,174.727601
5069,Massey Kindergarten,-36.839513,174.600261
5070,Mayfield Kindergarten,-36.951374,174.887445
5071,Meadowbank Kindergarten,-36.86981,174.823293
5072,Milford Kindergarten,-36.775376,174.767317
5073,Mission Bay Kindergarten,-36.855575,174.828839
5074,Morningside Kindergarten,-36.876562,174.732545
5075,Mt Eden Kindergarten,-36.882055,174.750513
5076,Mt Roskill Kindergarten,-36.904343,174.745899
5077,Sylvia Park Kindergarten,-36.912635,174.836851
5078,Murdoch Park Kindergarten,-36.987456,174.849304
5081,Northcote Central Kindergarten,-36.80118,174.747607
5082,Northcote Kindergarten,-36.80966,174.741724
5083,Omana Kindergarten,-36.967803,174.850957
5084,Orakei Kindergarten,-36.858098,174.816473
5085,Oratia Kindergarten,-36.912488,174.620268
5086,Otahuhu Kindergarten,-36.943782,174.848687
5087,Owairaka Kindergarten,-36.894877,174.714453
5088,Pakuranga Kindergarten,-36.91517,174.883311
5089,Papatoetoe Kindergarten,-36.977103,174.860911
5090,Parnell Kindergarten,-36.854596,174.785849
5091,Ponsonby Kindergarten,-36.850131,174.742038
5093,Pt England Kindergarten,-36.882964,174.867347
5094,Ranui Kindergarten,-36.865784,174.602918
5095,Lincoln North Kindergarten,-36.857804,174.624226
5096,Glen Eden West Kindergarten,-36.91539,174.640217
5097,Roskill South Kindergarten,-36.925561,174.734884
5098,Mt Albert Kindergarten,-36.88234,174.709458
5099,St Heliers Kindergarten,-36.85902,174.86191
5100,Grey Lynn Kindergarten,-36.86546,174.74809
5101,St Johns Kindergarten,-36.878241,174.847488
5103,Sandringham Kindergarten,-36.879292,174.739801
5104,Sturges Road Kindergarten,-36.881363,174.616277
5105,Whenuapai Kindergarten,-36.793442,174.61883
5106,Sunnyvale Kindergarten,-36.891166,174.642274
5107,Takapuna Kindergarten,-36.792563,174.772943
5108,Te Atatu Peninsula Kindergarten,-36.840293,174.655037
5109,Te Atatu South Kindergarten,-36.879291,174.652073
5110,Titirangi Kindergarten,-36.938654,174.655217
5111,Westlake Forrest Hill Kindergarten,-36.769431,174.750756
5112,Westmere Kindergarten,-36.857545,174.721889
5113,Farm Cove Kindergarten,-36.895766,174.895348
5114,Yendarra Kindergarten,-36.96639,174.878134
