rankedId,rankedDate,rankedRank
5001,2016-12-05,well placed
5001,2013-02-25,no rating
5002,2016-12-05,well placed
5002,2013-02-25,no rating
5003,2016-12-05,well placed
5003,2013-02-25,no rating
5004,2016-10-13,very well placed
5004,2013-05-29,no rating
5006,2016-10-13,very well placed
5006,2012-06-20,no rating
5007,2016-10-13,well placed
5007,2012-06-26,no rating
5008,2015-09-09,well placed
5008,2019-08-15,very well placed
5009,2016-10-13,very well placed
5009,2012-06-19,no rating
5010,2016-12-14,well placed
5010,2012-06-29,no rating
5011,2015-09-10,well placed
5011,2019-08-15,well placed
5012,2015-09-09,well placed
5012,2019-08-15,well placed
5013,2015-09-10,very well placed
5013,2012-06-19,no rating
5014,2013-08-26,very well placed
5014,2018-05-28,very well placed
5015,2015-09-10,well placed
5015,2019-08-15,well placed
5016,2015-09-09,well placed
5016,2019-08-14,well placed
5017,2015-09-10,very well placed
5017,2012-06-11,no rating
5018,2013-08-20,very well placed
5018,2018-05-29,very well placed
5019,2015-09-14,well placed
5019,2019-08-19,well placed
5020,2014-05-02,well placed
5020,2017-04-10,well placed
5021,2016-04-15,well placed
5021,2020-03-26,well placed
5022,2012-12-13,no rating
5022,2016-04-15,well placed
5023,2016-04-15,very well placed
5023,2020-03-20,well placed
5024,2012-12-13,no rating
5024,2016-05-15,very well placed
5025,2015-02-05,very well placed
5025,2011-09-08,no rating
5026,2015-06-19,very well placed
5026,2020-03-27,well placed
5027,2015-02-05,very well placed
5027,2011-09-08,no rating
5028,2019-10-23,very well placed
5028,2014-11-28,very well placed
5029,2019-10-09,well placed
5029,2016-01-29,well placed
5030,2014-05-02,well placed
5030,2017-03-15,well placed
5031,2014-09-12,well placed
5031,2017-10-27,well placed
5032,2017-09-14,well placed
5032,2014-11-26,well placed
5033,2016-12-14,very well placed
5033,2013-10-31,well placed
5034,2017-03-15,well placed
5034,2013-10-31,well placed
5035,2018-02-08,well placed
5035,2015-03-18,well placed
5036,2013-04-17,no rating
5036,2016-04-29,very well placed
5037,2014-09-12,well placed
5037,2018-02-19,well placed
5038,2020-02-13,well placed
5038,2015-05-29,very well placed
5039,2014-12-03,very well placed
5039,2019-10-09,well placed
5040,2017-03-29,well placed
5040,2013-10-31,well placed
5042,2014-09-12,very well placed
5042,2019-02-20,very well placed
5043,2014-09-12,well placed
5043,2017-10-27,very well placed
5044,2019-10-08,well placed
5044,2014-11-26,very well placed
5045,2013-04-05,no rating
5045,2016-05-27,very well placed
5046,2014-12-03,well placed
5046,2017-10-27,well placed
5047,2014-05-21,very well placed
5047,2018-06-21,well placed
5048,2014-04-14,well placed
5048,2017-09-14,very well placed
5049,2019-02-15,well placed
5049,2015-05-29,well placed
5050,2019-02-15,well placed
5050,2015-05-29,well placed
5051,2019-10-02,well placed
5051,2016-01-29,well placed
5052,2013-08-14,well placed
5052,2017-03-15,very well placed
5053,2017-03-15,well placed
5053,2013-11-20,well placed
5054,2017-03-15,very well placed
5054,2013-11-20,well placed
5055,2013-08-14,very well placed
5055,2018-03-20,very well placed
5056,2015-05-29,well placed
5056,2018-06-29,well placed
5057,2019-02-14,well placed
5057,2015-05-29,well placed
5058,2016-12-14,very well placed
5058,2013-08-28,well placed
5059,2020-05-08,well placed
5059,2015-11-19,very well placed
5060,2017-03-15,well placed
5060,2014-02-21,well placed
5061,2016-05-27,very well placed
5061,2012-11-27,no rating
5062,2018-06-21,well placed
5062,2014-11-26,well placed
5063,2017-03-15,very well placed
5063,2013-10-31,well placed
5064,2014-05-02,well placed
5064,2017-09-20,well placed
5065,2012-08-01,no rating
5065,2015-09-09,well placed
5066,2014-11-26,well placed
5066,2017-10-31,well placed
5067,2013-08-14,very well placed
5068,2013-04-05,no rating
5068,2016-05-27,very well placed
5069,2013-08-14,very well placed
5069,2017-09-20,well placed
5070,2014-05-02,well placed
5070,2017-09-14,well placed
5070,2011-04-21,no rating
5071,2020-05-08,well placed
5071,2015-08-28,very well placed
5072,2012-07-27,no rating
5073,2014-05-01,well placed
5073,2017-09-14,well placed
5074,2017-04-10,well placed
5074,2014-02-28,well placed
5075,2018-02-08,well placed
5075,2015-03-11,well placed
5076,2017-06-02,very well placed
5076,2014-02-28,well placed
5077,2012-11-27,no rating
5077,2016-01-29,very well placed
5078,2017-09-20,well placed
5078,2014-02-28,well placed
5081,2012-11-02,no rating
5082,2020-02-13,well placed
5082,2016-05-27,well placed
5083,2015-11-19,well placed
5083,2019-03-21,well placed
5084,2014-09-12,well placed
5084,2017-09-14,well placed
5085,2014-09-12,well placed
5085,2017-10-27,well placed
5086,2014-09-12,well placed
5086,2017-10-27,well placed
5087,2014-09-12,well placed
5087,2017-10-27,well placed
5088,2014-09-12,very well placed
5088,2019-02-14,very well placed
5089,2019-10-02,well placed
5089,2015-11-26,well placed
5090,2020-05-08,well placed
5090,2015-11-19,very well placed
5091,2017-03-15,well placed
5091,2013-10-31,well placed
5093,2013-08-14,well placed
5093,2016-12-14,well placed
5094,2018-02-08,well placed
5094,2014-11-28,well placed
5095,2015-03-04,well placed
5095,2018-03-19,well placed
5096,2017-03-15,well placed
5096,2013-08-29,well placed
5097,2015-03-20,very well placed
5097,2019-10-23,very well placed
5098,2017-06-02,well placed
5098,2014-02-28,well placed
5099,2020-05-27,well placed
5099,2015-08-28,very well placed
5100,2018-02-08,well placed
5100,2013-11-20,very well placed
5101,2019-02-15,well placed
5101,2015-08-28,well placed
5103,2020-02-13,well placed
5103,2015-05-29,very well placed
5104,2015-03-11,well placed
5104,2018-06-19,well placed
5105,2013-08-14,well placed
5105,2016-12-14,well placed
5106,2016-12-14,well placed
5106,2013-11-20,well placed
5107,2013-04-05,no rating
5107,2016-05-27,well placed
5108,2011-11-09,no rating
5108,2015-03-11,well placed
5109,2018-02-08,well placed
5109,2014-02-28,well placed
5110,2014-05-02,well placed
5110,2017-04-21,well placed
5111,2016-12-14,well placed
5111,2013-10-31,well placed
5112,2020-02-13,well placed
5112,2016-05-27,well placed
5113,2020-02-13,well placed
5113,2016-05-27,well placed
5114,2020-02-13,well placed
5114,2015-05-29,very well placed
5115,2016-07-13,well placed
5115,2013-02-25,no rating
5116,2014-09-15,needs further development
5116,2016-01-18,well placed
5117,2014-09-17,very well placed
5117,2018-12-21,well placed
5118,2013-02-18,no rating
5118,2016-09-26,well placed
5120,2013-05-21,no rating
5120,2016-12-22,well placed
5121,2014-09-08,well placed
5121,2019-01-17,well placed
5122,2016-07-13,well placed
5122,2013-05-20,no rating
5124,2015-02-05,well placed
5124,2018-02-08,very well placed
5125,2013-09-27,well placed
5125,2017-03-29,very well placed
5126,2015-05-04,well placed
5126,2018-12-21,very well placed
5127,2015-05-05,well placed
5127,2018-12-21,well placed
5128,2019-01-17,well placed
5128,2014-09-17,very well placed
5129,2018-02-09,well placed
5129,2014-09-17,well placed
5130,2018-02-08,very well placed
5130,2013-08-28,very well placed
5131,2013-06-14,no rating
5131,2016-12-16,very well placed
5132,2013-02-11,no rating
5132,2016-12-16,well placed
5133,2016-12-22,well placed
5133,2013-05-24,no rating
5134,2017-10-06,very well placed
5134,2014-11-06,well placed
5135,2014-11-05,well placed
5135,2018-02-16,well placed
5136,2014-08-13,very well placed
5136,2018-12-21,very well placed
5137,2014-08-13,well placed
5137,2017-10-17,well placed
5138,2014-08-13,very well placed
5138,2018-12-20,well placed
5139,2014-11-05,very well placed
5139,2018-12-20,very well placed
5140,2014-08-13,very well placed
5140,2018-12-21,needs further development
5141,2014-11-06,very well placed
5141,2018-11-26,very well placed
5142,2014-11-06,very well placed
5142,2018-12-20,well placed
5143,2014-11-05,very well placed
5143,2018-12-20,very well placed
5144,2014-11-05,well placed
5144,2018-01-22,very well placed
5145,2015-02-03,very well placed
5145,2018-12-20,well placed
5146,2014-08-13,well placed
5146,2017-10-17,well placed
5147,2018-12-06,well placed
5147,2014-08-13,very well placed
5148,2014-08-13,very well placed
5148,2018-12-21,very well placed
5149,2014-11-06,well placed
5149,2018-01-22,well placed
5150,2017-10-06,very well placed
5150,2014-08-13,well placed
5151,2014-08-13,very well placed
5151,2018-12-20,well placed
5152,2014-11-05,very well placed
5152,2018-12-20,well placed
5153,2014-08-13,very well placed
5153,2018-12-20,well placed
5154,2014-08-13,very well placed
5154,2018-12-21,very well placed
5155,2015-02-03,very well placed
5155,2018-12-20,well placed
5156,2015-02-03,well placed
5156,2018-02-16,very well placed
5157,2015-02-03,very well placed
5157,2019-02-28,very well placed
5158,2014-11-06,well placed
5158,2017-11-16,well placed
5159,2014-11-05,very well placed
5159,2018-12-20,very well placed
5160,2016-09-05,very well placed
5160,2013-05-14,no rating
5161,2018-01-10,very well placed
5161,2014-09-30,well placed
5162,2016-10-10,very well placed
5162,2013-05-14,no rating
5163,2016-08-11,very well placed
5163,2013-05-13,no rating
5164,2016-01-12,well placed
5164,2019-02-15,well placed
5165,2013-07-17,very well placed
5165,2017-10-25,very well placed
5166,2015-12-22,well placed
5166,2019-04-24,well placed
5167,2013-07-05,well placed
5167,2016-10-10,well placed
5168,2016-01-12,well placed
5168,2019-04-24,well placed
5169,2013-05-13,no rating
5169,2016-08-15,very well placed
5170,2012-10-02,no rating
5170,2015-12-22,very well placed
5172,2014-02-03,no rating
5172,2016-12-20,well placed
5173,2016-10-10,well placed
5173,2013-05-14,no rating
5174,2019-02-01,well placed
5174,2015-11-18,well placed
5175,2019-02-04,very well placed
5175,2015-10-30,well placed
5176,2013-07-18,well placed
5176,2016-12-20,well placed
5177,2013-07-17,very well placed
5177,2017-10-31,very well placed
5178,2013-07-17,very well placed
5178,2017-10-31,well placed
5179,2013-02-04,no rating
