school_number,date,url
5001,2016-12-05,https://www.ero.govt.nz/review-reports/anne-west-kindergarten-05-12-2016/
5001,2013-02-25,https://www.ero.govt.nz/review-reports/anne-west-kindergarten-25-02-2013/
5002,2016-12-05,https://www.ero.govt.nz/review-reports/doubtless-bay-kindergarten-05-12-2016/
5002,2013-02-25,https://www.ero.govt.nz/review-reports/doubtless-bay-kindergarten-25-02-2013/
5003,2016-12-05,https://www.ero.govt.nz/review-reports/mission-place-kindergarten-05-12-2016/
5003,2013-02-25,https://www.ero.govt.nz/review-reports/mission-place-kindergarten-25-02-2013/
5004,2016-10-13,https://www.ero.govt.nz/review-reports/hillcrest-kindergarten-13-10-2016/
5004,2013-05-29,https://www.ero.govt.nz/review-reports/hillcrest-kindergarten-29-05-2013/
5006,2016-10-13,https://www.ero.govt.nz/review-reports/paihia-waitangi-kindergarten-13-10-2016/
5006,2012-06-20,https://www.ero.govt.nz/review-reports/paihia-waitangi-kindergarten-20-06-2012/
5007,2016-10-13,https://www.ero.govt.nz/review-reports/dargaville-free-kindergarten-13-10-2016/
5007,2012-06-26,https://www.ero.govt.nz/review-reports/dargaville-free-kindergarten-26-06-2012/
5008,2015-09-09,https://www.ero.govt.nz/review-reports/ruawai-kindergarten-09-09-2015/
5008,2019-08-15,https://www.ero.govt.nz/review-reports/ruawai-kindergarten-15-08-2019/
5009,2016-10-13,https://www.ero.govt.nz/review-reports/selwyn-park-kindergarten-13-10-2016/
5009,2012-06-19,https://www.ero.govt.nz/review-reports/selwyn-park-kindergarten-19-06-2012/
5010,2016-12-14,https://www.ero.govt.nz/review-reports/forest-view-kindergarten-14-12-2016/
5010,2012-06-29,https://www.ero.govt.nz/review-reports/forest-view-kindergarten-29-06-2012/
5011,2015-09-10,https://www.ero.govt.nz/review-reports/hora-hora-kindergarten-10-09-2015/
5011,2019-08-15,https://www.ero.govt.nz/review-reports/hora-hora-kindergarten-15-08-2019/
5012,2015-09-09,https://www.ero.govt.nz/review-reports/te-kamo-kindergarten-09-09-2015/
5012,2019-08-15,https://www.ero.govt.nz/review-reports/te-kamo-kindergarten-15-08-2019/
5013,2015-09-10,https://www.ero.govt.nz/review-reports/mairtown-free-kindergarten-10-09-2015/
5013,2012-06-19,https://www.ero.govt.nz/review-reports/mairtown-free-kindergarten-19-06-2012/
5014,2013-08-26,https://www.ero.govt.nz/review-reports/onerahi-free-kindergarten-26-08-2013/
5014,2018-05-28,https://www.ero.govt.nz/review-reports/onerahi-free-kindergarten-28-05-2018/
5015,2015-09-10,https://www.ero.govt.nz/review-reports/hikurangi-kindergarten-10-09-2015/
5015,2019-08-15,https://www.ero.govt.nz/review-reports/hikurangi-kindergarten-15-08-2019/
5016,2015-09-09,https://www.ero.govt.nz/review-reports/portland-kindergarten-09-09-2015/
5016,2019-08-14,https://www.ero.govt.nz/review-reports/portland-kindergarten-14-08-2019/
5017,2015-09-10,https://www.ero.govt.nz/review-reports/raumanga-kindergarten-10-09-2015/
5017,2012-06-11,https://www.ero.govt.nz/review-reports/raumanga-kindergarten-11-06-2012/
5018,2013-08-20,https://www.ero.govt.nz/review-reports/parihaka-kindergarten-20-08-2013/
5018,2018-05-29,https://www.ero.govt.nz/review-reports/parihaka-kindergarten-29-05-2018/
5019,2015-09-14,https://www.ero.govt.nz/review-reports/tikipunga-free-kindergarten-14-09-2015/
5019,2019-08-19,https://www.ero.govt.nz/review-reports/tikipunga-free-kindergarten-19-08-2019/
5020,2014-05-02,https://www.ero.govt.nz/review-reports/wellsford-kindergarten-02-05-2014/
5020,2017-04-10,https://www.ero.govt.nz/review-reports/wellsford-kindergarten-10-04-2017/
5021,2016-04-15,https://www.ero.govt.nz/review-reports/glamorgan-kindergarten-15-04-2016/
5021,2020-03-26,https://www.ero.govt.nz/review-reports/glamorgan-kindergarten-26-03-2020/
5022,2012-12-13,https://www.ero.govt.nz/review-reports/hibiscus-coast-kindergarten-13-12-2012/
5022,2016-04-15,https://www.ero.govt.nz/review-reports/hibiscus-coast-kindergarten-15-04-2016/
5023,2016-04-15,https://www.ero.govt.nz/review-reports/mahurangi-kindergarten-15-04-2016/
5023,2020-03-20,https://www.ero.govt.nz/review-reports/mahurangi-kindergarten-20-03-2020/
5024,2012-12-13,https://www.ero.govt.nz/review-reports/rangitoto-kindergarten-13-12-2012/
5024,2016-05-15,https://www.ero.govt.nz/review-reports/rangitoto-kindergarten-15-05-2016/
5025,2015-02-05,https://www.ero.govt.nz/review-reports/taiaotea-kindergarten-05-02-2015/
5025,2011-09-08,https://www.ero.govt.nz/review-reports/taiaotea-kindergarten-08-09-2011/
5026,2015-06-19,https://www.ero.govt.nz/review-reports/torbay-kindergarten-19-06-2015/
5026,2020-03-27,https://www.ero.govt.nz/review-reports/torbay-kindergarten-27-03-2020/
5027,2015-02-05,https://www.ero.govt.nz/review-reports/stanmore-bay-kindergarten-05-02-2015/
5027,2011-09-08,https://www.ero.govt.nz/review-reports/stanmore-bay-kindergarten-08-09-2011/
5028,2019-10-23,https://www.ero.govt.nz/review-reports/anchorage-park-kindergarten-23-10-2019/
5028,2014-11-28,https://www.ero.govt.nz/review-reports/anchorage-park-kindergarten-28-11-2014/
5029,2019-10-09,https://www.ero.govt.nz/review-reports/avondale-kindergarten-09-10-2019/
5029,2016-01-29,https://www.ero.govt.nz/review-reports/avondale-kindergarten-29-01-2016/
5030,2014-05-02,https://www.ero.govt.nz/review-reports/bairds-kindergarten-02-05-2014/
5030,2017-03-15,https://www.ero.govt.nz/review-reports/bairds-kindergarten-15-03-2017/
5031,2014-09-12,https://www.ero.govt.nz/review-reports/bayview-kindergarten-12-09-2014/
5031,2017-10-27,https://www.ero.govt.nz/review-reports/bayview-kindergarten-27-10-2017/
5032,2017-09-14,https://www.ero.govt.nz/review-reports/belmont-bayswater-kindergarten-14-09-2017/
5032,2014-11-26,https://www.ero.govt.nz/review-reports/belmont-bayswater-kindergarten-26-11-2014/
5033,2016-12-14,https://www.ero.govt.nz/review-reports/beach-haven-kindergarten-14-12-2016/
5033,2013-10-31,https://www.ero.govt.nz/review-reports/beach-haven-kindergarten-31-10-2013/
5034,2017-03-15,https://www.ero.govt.nz/review-reports/birkenhead-kindergarten-15-03-2017/
5034,2013-10-31,https://www.ero.govt.nz/review-reports/birkenhead-kindergarten-31-10-2013/
5035,2018-02-08,https://www.ero.govt.nz/review-reports/blockhouse-bay-kindergarten-08-02-2018/
5035,2015-03-18,https://www.ero.govt.nz/review-reports/blockhouse-bay-kindergarten-18-03-2015/
5036,2013-04-17,https://www.ero.govt.nz/review-reports/botany-downs-kindergarten-17-04-2013/
5036,2016-04-29,https://www.ero.govt.nz/review-reports/botany-downs-kindergarten-29-04-2016/
5037,2014-09-12,https://www.ero.govt.nz/review-reports/sunnynook-kindergarten-12-09-2014/
5037,2018-02-19,https://www.ero.govt.nz/review-reports/sunnynook-kindergarten-19-02-2018/
5038,2020-02-13,https://www.ero.govt.nz/review-reports/bucklands-beach-kindergarten-13-02-2020/
5038,2015-05-29,https://www.ero.govt.nz/review-reports/bucklands-beach-kindergarten-29-05-2015/
5039,2014-12-03,https://www.ero.govt.nz/review-reports/cascades-kindergarten-03-12-2014/
5039,2019-10-09,https://www.ero.govt.nz/review-reports/cascades-kindergarten-09-10-2019/
5040,2017-03-29,https://www.ero.govt.nz/review-reports/ellerslie-kindergarten-29-03-2017/
5040,2013-10-31,https://www.ero.govt.nz/review-reports/ellerslie-kindergarten-31-10-2013/
5042,2014-09-12,https://www.ero.govt.nz/review-reports/colwill-kindergarten-12-09-2014/
5042,2019-02-20,https://www.ero.govt.nz/review-reports/colwill-kindergarten-20-02-2019/
5043,2014-09-12,https://www.ero.govt.nz/review-reports/remuera-kindergarten-12-09-2014/
5043,2017-10-27,https://www.ero.govt.nz/review-reports/remuera-kindergarten-27-10-2017/
5044,2019-10-08,https://www.ero.govt.nz/review-reports/onehunga-kindergarten-08-10-2019/
5044,2014-11-26,https://www.ero.govt.nz/review-reports/onehunga-kindergarten-26-11-2014/
5045,2013-04-05,https://www.ero.govt.nz/review-reports/devonport-kindergarten-05-04-2013/
5045,2016-05-27,https://www.ero.govt.nz/review-reports/devonport-kindergarten-27-05-2016/
5046,2014-12-03,https://www.ero.govt.nz/review-reports/don-buck-kindergarten-03-12-2014/
5046,2017-10-27,https://www.ero.govt.nz/review-reports/don-buck-kindergarten-27-10-2017/
5047,2014-05-21,https://www.ero.govt.nz/review-reports/favona-kindergarten-21-05-2014/
5047,2018-06-21,https://www.ero.govt.nz/review-reports/favona-kindergarten-21-06-2018/
5048,2014-04-14,https://www.ero.govt.nz/review-reports/ferndale-kindergarten-14-04-2014/
5048,2017-09-14,https://www.ero.govt.nz/review-reports/ferndale-kindergarten-14-09-2017/
5049,2019-02-15,https://www.ero.govt.nz/review-reports/flatbush-kindergarten-15-02-2019/
5049,2015-05-29,https://www.ero.govt.nz/review-reports/flatbush-kindergarten-29-05-2015/
5050,2019-02-15,https://www.ero.govt.nz/review-reports/glen-eden-kindergarten-15-02-2019/
5050,2015-05-29,https://www.ero.govt.nz/review-reports/glen-eden-kindergarten-29-05-2015/
5051,2019-10-02,https://www.ero.govt.nz/review-reports/glen-innes-kindergarten-02-10-2019/
5051,2016-01-29,https://www.ero.govt.nz/review-reports/glen-innes-kindergarten-29-01-2016/
5052,2013-08-14,https://www.ero.govt.nz/review-reports/glenfield-kindergarten-14-08-2013/
5052,2017-03-15,https://www.ero.govt.nz/review-reports/glenfield-kindergarten-15-03-2017/
5053,2017-03-15,https://www.ero.govt.nz/review-reports/green-bay-kindergarten-15-03-2017/
5053,2013-11-20,https://www.ero.govt.nz/review-reports/green-bay-kindergarten-20-11-2013/
5054,2017-03-15,https://www.ero.govt.nz/review-reports/henderson-kindergarten-15-03-2017/
5054,2013-11-20,https://www.ero.govt.nz/review-reports/henderson-kindergarten-20-11-2013/
5055,2013-08-14,https://www.ero.govt.nz/review-reports/highland-park-kindergarten-14-08-2013/
5055,2018-03-20,https://www.ero.govt.nz/review-reports/highland-park-kindergarten-20-03-2018/
5056,2015-05-29,https://www.ero.govt.nz/review-reports/hillsborough-kindergarten-29-05-2015/
5056,2018-06-29,https://www.ero.govt.nz/review-reports/hillsborough-kindergarten-29-06-2018/
5057,2019-02-14,https://www.ero.govt.nz/review-reports/hobsonville-kindergarten-14-02-2019/
5057,2015-05-29,https://www.ero.govt.nz/review-reports/hobsonville-kindergarten-29-05-2015/
5058,2016-12-14,https://www.ero.govt.nz/review-reports/howick-kindergarten-14-12-2016/
5058,2013-08-28,https://www.ero.govt.nz/review-reports/howick-kindergarten-28-08-2013/
5059,2020-05-08,https://www.ero.govt.nz/review-reports/mangere-west-kindergarten-08-05-2020/
5059,2015-11-19,https://www.ero.govt.nz/review-reports/mangere-west-kindergarten-19-11-2015/
5060,2017-03-15,https://www.ero.govt.nz/review-reports/kauri-park-kindergarten-15-03-2017/
5060,2014-02-21,https://www.ero.govt.nz/review-reports/kauri-park-kindergarten-21-02-2014/
5061,2016-05-27,https://www.ero.govt.nz/review-reports/kingsdene-kindergarten-27-05-2016/
5061,2012-11-27,https://www.ero.govt.nz/review-reports/kingsdene-kindergarten-27-11-2012/
5062,2018-06-21,https://www.ero.govt.nz/review-reports/papatoetoe-north-kindergarten-21-06-2018/
5062,2014-11-26,https://www.ero.govt.nz/review-reports/papatoetoe-north-kindergarten-26-11-2014/
5063,2017-03-15,https://www.ero.govt.nz/review-reports/epsom-south-kindergarten-15-03-2017/
5063,2013-10-31,https://www.ero.govt.nz/review-reports/epsom-south-kindergarten-31-10-2013/
5064,2014-05-02,https://www.ero.govt.nz/review-reports/freemans-bay-kindergarten-02-05-2014/
5064,2017-09-20,https://www.ero.govt.nz/review-reports/freemans-bay-kindergarten-20-09-2017/
5065,2012-08-01,https://www.ero.govt.nz/review-reports/lynfield-kindergarten-01-08-2012/
5065,2015-09-09,https://www.ero.govt.nz/review-reports/lynfield-kindergarten-09-09-2015/
5066,2014-11-26,https://www.ero.govt.nz/review-reports/mcnaughton-kindergarten-26-11-2014/
5066,2017-10-31,https://www.ero.govt.nz/review-reports/mcnaughton-kindergarten-31-10-2017/
5067,2013-08-14,https://www.ero.govt.nz/review-reports/mangere-bridge-kindergarten-14-08-2013/
5068,2013-04-05,https://www.ero.govt.nz/review-reports/marlborough-kindergarten-05-04-2013/
5068,2016-05-27,https://www.ero.govt.nz/review-reports/marlborough-kindergarten-27-05-2016/
5069,2013-08-14,https://www.ero.govt.nz/review-reports/massey-kindergarten-14-08-2013/
5069,2017-09-20,https://www.ero.govt.nz/review-reports/massey-kindergarten-20-09-2017/
5070,2014-05-02,https://www.ero.govt.nz/review-reports/mayfield-kindergarten-02-05-2014/
5070,2017-09-14,https://www.ero.govt.nz/review-reports/mayfield-kindergarten-14-09-2017/
5070,2011-04-21,https://www.ero.govt.nz/review-reports/mayfield-kindergarten-21-04-2011/
5071,2020-05-08,https://www.ero.govt.nz/review-reports/meadowbank-kindergarten-08-05-2020/
5071,2015-08-28,https://www.ero.govt.nz/review-reports/meadowbank-kindergarten-28-08-2015/
5072,2012-07-27,https://www.ero.govt.nz/review-reports/milford-kindergarten-27-07-2012/
5073,2014-05-01,https://www.ero.govt.nz/review-reports/mission-bay-kindergarten-01-05-2014/
5073,2017-09-14,https://www.ero.govt.nz/review-reports/mission-bay-kindergarten-14-09-2017/
5074,2017-04-10,https://www.ero.govt.nz/review-reports/morningside-kindergarten-10-04-2017/
5074,2014-02-28,https://www.ero.govt.nz/review-reports/morningside-kindergarten-28-02-2014/
5075,2018-02-08,https://www.ero.govt.nz/review-reports/mt-eden-kindergarten-08-02-2018/
5075,2015-03-11,https://www.ero.govt.nz/review-reports/mt-eden-kindergarten-11-03-2015/
5076,2017-06-02,https://www.ero.govt.nz/review-reports/mt-roskill-kindergarten-02-06-2017/
5076,2014-02-28,https://www.ero.govt.nz/review-reports/mt-roskill-kindergarten-28-02-2014/
5077,2012-11-27,https://www.ero.govt.nz/review-reports/sylvia-park-kindergarten-27-11-2012/
5077,2016-01-29,https://www.ero.govt.nz/review-reports/sylvia-park-kindergarten-29-01-2016/
5078,2017-09-20,https://www.ero.govt.nz/review-reports/murdoch-park-kindergarten-20-09-2017/
5078,2014-02-28,https://www.ero.govt.nz/review-reports/murdoch-park-kindergarten-28-02-2014/
5081,2012-11-02,https://www.ero.govt.nz/review-reports/northcote-central-kindergarten-02-11-2012/
5082,2020-02-13,https://www.ero.govt.nz/review-reports/northcote-kindergarten-13-02-2020/
5082,2016-05-27,https://www.ero.govt.nz/review-reports/northcote-kindergarten-27-05-2016/
5083,2015-11-19,https://www.ero.govt.nz/review-reports/omana-kindergarten-19-11-2015/
5083,2019-03-21,https://www.ero.govt.nz/review-reports/omana-kindergarten-21-03-2019/
5084,2014-09-12,https://www.ero.govt.nz/review-reports/orakei-kindergarten-12-09-2014/
5084,2017-09-14,https://www.ero.govt.nz/review-reports/orakei-kindergarten-14-09-2017/
5085,2014-09-12,https://www.ero.govt.nz/review-reports/oratia-kindergarten-12-09-2014/
5085,2017-10-27,https://www.ero.govt.nz/review-reports/oratia-kindergarten-27-10-2017/
5086,2014-09-12,https://www.ero.govt.nz/review-reports/otahuhu-kindergarten-12-09-2014/
5086,2017-10-27,https://www.ero.govt.nz/review-reports/otahuhu-kindergarten-27-10-2017/
5087,2014-09-12,https://www.ero.govt.nz/review-reports/owairaka-kindergarten-12-09-2014/
5087,2017-10-27,https://www.ero.govt.nz/review-reports/owairaka-kindergarten-27-10-2017/
5088,2014-09-12,https://www.ero.govt.nz/review-reports/pakuranga-kindergarten-12-09-2014/
5088,2019-02-14,https://www.ero.govt.nz/review-reports/pakuranga-kindergarten-14-02-2019/
5089,2019-10-02,https://www.ero.govt.nz/review-reports/papatoetoe-kindergarten-02-10-2019/
5089,2015-11-26,https://www.ero.govt.nz/review-reports/papatoetoe-kindergarten-26-11-2015/
5090,2020-05-08,https://www.ero.govt.nz/review-reports/parnell-kindergarten-08-05-2020/
5090,2015-11-19,https://www.ero.govt.nz/review-reports/parnell-kindergarten-19-11-2015/
5091,2017-03-15,https://www.ero.govt.nz/review-reports/ponsonby-kindergarten-15-03-2017/
5091,2013-10-31,https://www.ero.govt.nz/review-reports/ponsonby-kindergarten-31-10-2013/
5093,2013-08-14,https://www.ero.govt.nz/review-reports/pt-england-kindergarten-14-08-2013/
5093,2016-12-14,https://www.ero.govt.nz/review-reports/pt-england-kindergarten-14-12-2016/
5094,2018-02-08,https://www.ero.govt.nz/review-reports/ranui-kindergarten-08-02-2018/
5094,2014-11-28,https://www.ero.govt.nz/review-reports/ranui-kindergarten-28-11-2014/
5095,2015-03-04,https://www.ero.govt.nz/review-reports/lincoln-north-kindergarten-04-03-2015/
5095,2018-03-19,https://www.ero.govt.nz/review-reports/lincoln-north-kindergarten-19-03-2018/
5096,2017-03-15,https://www.ero.govt.nz/review-reports/glen-eden-west-kindergarten-15-03-2017/
5096,2013-08-29,https://www.ero.govt.nz/review-reports/glen-eden-west-kindergarten-29-08-2013/
5097,2015-03-20,https://www.ero.govt.nz/review-reports/roskill-south-kindergarten-20-03-2015/
5097,2019-10-23,https://www.ero.govt.nz/review-reports/roskill-south-kindergarten-23-10-2019/
5098,2017-06-02,https://www.ero.govt.nz/review-reports/mt-albert-kindergarten-02-06-2017/
5098,2014-02-28,https://www.ero.govt.nz/review-reports/mt-albert-kindergarten-28-02-2014/
5099,2020-05-27,https://www.ero.govt.nz/review-reports/st-heliers-kindergarten-27-05-2020/
5099,2015-08-28,https://www.ero.govt.nz/review-reports/st-heliers-kindergarten-28-08-2015/
5100,2018-02-08,https://www.ero.govt.nz/review-reports/grey-lynn-kindergarten-08-02-2018/
5100,2013-11-20,https://www.ero.govt.nz/review-reports/grey-lynn-kindergarten-20-11-2013/
5101,2019-02-15,https://www.ero.govt.nz/review-reports/st-johns-kindergarten-15-02-2019/
5101,2015-08-28,https://www.ero.govt.nz/review-reports/st-johns-kindergarten-28-08-2015/
