"AREA:Area","AGE:Age group","SEX:Sex","ETHNIC:Ethnic group","YEAR:Year",Value,Flags
"142200:Greenlane North","004:Four years","9:Total people - sex","9999:Total people","2018:2018",30,
"142300:Waikowhai North","004:Four years","9:Total people - sex","9999:Total people","2018:2018",48,
"142400:Remuera East","004:Four years","9:Total people - sex","9999:Total people","2018:2018",30,
"142500:Waikowhai South","004:Four years","9:Total people - sex","9999:Total people","2018:2018",15,
"142600:Royal Oak West (Auckland)","004:Four years","9:Total people - sex","9999:Total people","2018:2018",30,
"142700:Saint Heliers West","004:Four years","9:Total people - sex","9999:Total people","2018:2018",33,
"142800:One Tree Hill","004:Four years","9:Total people - sex","9999:Total people","2018:2018",54,
"142900:Hillsborough East (Auckland)","004:Four years","9:Total people - sex","9999:Total people","2018:2018",24,
"143000:Saint Heliers North","004:Four years","9:Total people - sex","9999:Total people","2018:2018",39,
"143100:Remuera Abbotts Park","004:Four years","9:Total people - sex","9999:Total people","2018:2018",54,
"143200:Meadowbank East","004:Four years","9:Total people - sex","9999:Total people","2018:2018",42,
"143300:Ellerslie Central","004:Four years","9:Total people - sex","9999:Total people","2018:2018",42,
"143400:Royal Oak East (Auckland)","004:Four years","9:Total people - sex","9999:Total people","2018:2018",30,
"143500:Saint Heliers South","004:Four years","9:Total people - sex","9999:Total people","2018:2018",45,
"143600:Hillsborough South (Auckland)","004:Four years","9:Total people - sex","9999:Total people","2018:2018",33,
"143700:Saint Johns West","004:Four years","9:Total people - sex","9999:Total people","2018:2018",27,
"143800:Greenlane South","004:Four years","9:Total people - sex","9999:Total people","2018:2018",42,
"143900:Remuera Waiatarua","004:Four years","9:Total people - sex","9999:Total people","2018:2018",39,
"144000:Glendowie North","004:Four years","9:Total people - sex","9999:Total people","2018:2018",57,
"144100:Onehunga West","004:Four years","9:Total people - sex","9999:Total people","2018:2018",48,
"144200:Ellerslie West","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"144300:Onehunga North","004:Four years","9:Total people - sex","9999:Total people","2018:2018",66,
"144400:Ellerslie East","004:Four years","9:Total people - sex","9999:Total people","2018:2018",57,
"144500:Saint Johns East","004:Four years","9:Total people - sex","9999:Total people","2018:2018",27,
"142100:Hillsborough West (Auckland)","004:Four years","9:Total people - sex","9999:Total people","2018:2018",30,
"142000:Hillsborough North (Auckland)","004:Four years","9:Total people - sex","9999:Total people","2018:2018",39,
"141900:Meadowbank West","004:Four years","9:Total people - sex","9999:Total people","2018:2018",45,
"400016:Ross Dependency","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400015:Antipodes Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400014:Oceanic Antipodes Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400013:Snares Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400012:Oceanic Snares Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400011:Bounty Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400010:Oceanic Bounty Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400009:Auckland Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400008:Oceanic Auckland Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400007:Oceanic Oil Rig Southland","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400006:Campbell Island","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400005:Oceanic Campbell Island","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400004:Oceanic Oil Rig Taranaki","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400003:Kermadec Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400002:Oceanic Kermadec Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"400001:New Zealand Economic Zone","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"343000:Chatham Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",3,
"342900:Oceanic Chatham Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"258100:Three Kings Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"258000:Oceanic Three Kings Islands","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"363700:Oceanic Southland Region","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"363300:Bluff","004:Four years","9:Total people - sex","9999:Total people","2018:2018",30,
"363200:Inlet Bluff Harbour","004:Four years","9:Total people - sex","9999:Total people","2018:2018",,c
"363100:Woodend-Greenhills","004:Four years","9:Total people - sex","9999:Total people","2018:2018",9,
"363000:Clifton","004:Four years","9:Total people - sex","9999:Total people","2018:2018",24,
"362900:Kingswell","004:Four years","9:Total people - sex","9999:Total people","2018:2018",33,
"362800:Moulson","004:Four years","9:Total people - sex","9999:Total people","2018:2018",18,
"362700:Aurora","004:Four years","9:Total people - sex","9999:Total people","2018:2018",24,
"362600:Elizabeth Park","004:Four years","9:Total people - sex","9999:Total people","2018:2018",21,
"362500:Strathern","004:Four years","9:Total people - sex","9999:Total people","2018:2018",33,
"362400:Newfield","004:Four years","9:Total people - sex","9999:Total people","2018:2018",39,
"362300:Kennington-Tisbury","004:Four years","9:Total people - sex","9999:Total people","2018:2018",18,
"362200:Kew (Invercargill City)","004:Four years","9:Total people - sex","9999:Total people","2018:2018",33,
"362100:Georgetown","004:Four years","9:Total people - sex","9999:Total people","2018:2018",30,
